NUMBER,ANAL,SAMPLET,SAMPLED,DESCRIP,TYPE,CLIENT,LOCATION,SUBLOC,STATION,DEPTH,NO3,NO2,NH4,SUSPN,TDN,SRP,SUSPP,TDP,DOC,SUSPC,GF-CHL,HPLC-CHLA,COND,PH,Comments for DOC
4569.0,M,11:42,8/12/2017,MANITOBA,LA,HERBERT,LMB,,LMBS5,0,,,,,,,,,808,,12.53,,,,
4570.0,M,12:10,8/12/2017,MANITOBA,LA,HERBERT,LMB,,LMBS6,0,,,,,,,,,819,,12.69,,,,
4571.0,M,16:39,8/15/2017,MANITOBA,LA,HERBERT,BLK,,P,100,,,,,,,3,,,,,,,,
4572.0,M,16:37,8/15/2017,MANITOBA,LA,HERBERT,BLK,,CN,,,,,N/S,,,,,,N/S,,,,,
4573.0,M,16:38,8/15/2017,MANITOBA,LA,HERBERT,BLK,,CN,100,,,,N/S,,,,,,N/S,,,,,
4574.0,M,10:25,8/17/2017,MANITOBA,LA,HERBERT,BLK,,CN,0,,,,1,,,,,,10,,,,,
4575.0,M,10:30,8/17/2017,MANITOBA,LA,HERBERT,BLK,,CN,100,,,,9,,,,,,100,,,,,
4576.0,M,10:35,8/17/2017,MANITOBA,LA,HERBERT,BLK,,P,100,,,,,,,3,,,,,,,,
4577.0,M,12:12,8/10/2017,MANITOBA,LA,HERBERT,LMB,,137886,0,,,,228,590,90,14,96,993,2360,6.25,4.77,885,8.60,
4578.0,M,12:02,8/10/2017,MANITOBA,LA,HERBERT,LMB,,137886,6,,,,262,564,65,15,71,1004,2660,6.71,5.12,891,8.59,
4579.0,M,12:02,8/10/2017,MANITOBA,LA,HERBERT,LMB,,137886,6,,,,234,N/S,N/S,18,N/S,762,2770,N/S,N/S,N/S,N/S,
4580.0,M,12:51,8/10/2017,MANITOBA,LA,HERBERT,LMB,,145886,0,,,,172,573,49,12,55,,2130,6.45,5.76,900,8.60,
4581.0,M,16:22,8/10/2017,MANITOBA,LA,HERBERT,LMB,,116879,0,,,,187,638,44,13,52,969,2240,6.04,5.11,946,8.63,
4582.0,M,,8/10/2017,MANITOBA,LA,HERBERT,LMB,,116879,4.5,,,,260,601,,21,95,,2930,8.01,6.82,951,8.63,
4583.0,M,17:21,8/10/2017,MANITOBA,LA,HERBERT,LMB,,099881,0,,,,276,663,,16,18,520,2880,7.15,6.26,974,8.66,
4584.0,M,18:04,8/10/2017,MANITOBA,LA,HERBERT,LMB,NAR,NAR1,0,,,,240,679,,18,36,944,2830,6.55,5.68,954,8.65,
4585.0,M,08:54,8/11/2017,MANITOBA,LA,HERBERT,LMB,,066840,0,,,,294,686,68,30,79,814,2670,13.28,12.24,972,8.69,
4586.0,M,,8/11/2017,MANITOBA,LA,HERBERT,LMB,,066840,6.2,,,,296,616,1,34,7,826,2800,16.43,14.84,968,8.69,"DOC: ""4586/4594?"""
4587.0,M,09:26,8/11/2017,MANITOBA,LA,HERBERT,LMB,,070833,0,,,,280,610,71,25,86,902,3390,25.94,23.39,986,8.71,
4588.0,M,14:56,8/11/2017,MANITOBA,LA,HERBERT,LMB,,041823,0,,,,377,632,47,42,57,859,3710,15.72,14.11,979,8.73,
4589.0,M,15:49,8/11/2017,MANITOBA,LA,HERBERT,LMB,,038808,0,,,,306,607,41,35,52,922,3320,15.48,11.59,1021,8.70,
4590.0,M,16:24,8/11/2017,MANITOBA,LA,HERBERT,LMB,,036796,0,,,,452,679,63,37,75,1343,4530,19.62,14.87,1019,8.72,
4591.0,M,08:43,8/11/2017,MANITOBA,LA,HERBERT,LMB,,030847,0,,,,298,782,29,35,50,,3330,13.26,9.21,885,8.68,
4592.0,M,08:44,8/11/2017,MANITOBA,LA,HERBERT,LMB,,030847,4.1,,,,459,642,71,38,83,811,3500,17.80,12.56,877,8.69,
4593.0,M,12:58,8/11/2017,MANITOBA,LA,HERBERT,LMB,,027854,0,,,,367,663,104,31,115,865,3280,14.58,11.31,883,8.67,
4594.0,M,08:50,8/11/2017,MANITOBA,LA,HERBERT,LMB,,066840,6.2,,,,242,N/S,N/S,41,N/S,,3160,17.14,12.71,N/S,N/S,
4595.0,M,14:56,8/11/2017,MANITOBA,LA,HERBERT,LMB,,041823,5.2,,,,411,635,-1,54,7,,4070,28.08,23.17,1002,8.67,
4596.0,M,14:45,8/31/2017,MANITOBA,LA,HERBERT,BLK,,CN,0,,,,1,,,,,,10,,,,,
4597.0,M,14:47,8/31/2017,MANITOBA,LA,HERBERT,BLK,,CN,100,,,,11,,,,,,220,,,,,
4598.0,M,14:49,8/31/2017,MANITOBA,LA,HERBERT,BLK,,P,,,,,,,,3,,,,,,,,
4599.0,M,10:30,8/29/2017,MANITOBA,LA,HERBERT,LMB,,LLS013,,,,,441,745,35,40,47,,3100,24.94,19.49,990,8.71,
4673.0,M,,9/13/2017,LGS,EX,KAMULA,,,,,41,12,,49,428,,20,23,,800,4.12,3.35,305,8.46,
4688.0,M,14:15,9/12/2017,MANITOBA,LA,HERBERT,,,GL-TL1,,,,,91,1250,1,9,6,1544,910,1.34,0.95,286,8.60,
4689.0,M,,9/17/2017,MANITOBA,LA,HERBERT,LWH,,LWH_M,,,,,135,637,6,12,12,1249,1180,3.84,2.77,994,8.59,
4690.0,M,09:39,9/21/2017,MANITOBA,LA,HERBERT,BLK,,CN,0,,,,2,,,,,,10,,,,,
4691.0,M,09:40,9/21/2017,MANITOBA,LA,HERBERT,BLK,,CN,100,,,,-1,,,,,,140,,,,,
4692.0,M,09:41,9/21/2017,MANITOBA,LA,HERBERT,BLK,,P,,,,,,,,2,,,,,,,,
4693.0,M,18:05,9/17/2017,MANITOBA,LA,HERBERT,OFR,,OFR1,,,,,65,719,9,11,17,1476,680,2.26,1.19,212,8.40,
4694.0,M,07:52,9/18/2017,MANITOBA,LA,HERBERT,LWPO,,308102,0,,,,234,521,41,23,50,1296,1520,10.46,7.43,682,8.62,
4695.0,M,07:55,9/18/2017,MANITOBA,LA,HERBERT,LWPO,,308102,4,,,,241,531,3,25,9,,1630,11.23,8.22,684,8.63,
4696.0,M,10:03,9/18/2017,MANITOBA,LA,HERBERT,REDR,,RDR1,0,,,,579,828,39,56,58,1594,4270,24.57,18.87,589,8.71,
4697.0,M,11:11,9/18/2017,MANITOBA,LA,HERBERT,LWPO,,292085,0,,,,236,521,22,29,30,1219,1530,15.67,11.04,695,8.63,
4698.0,M,11:20,9/18/2017,MANITOBA,LA,HERBERT,LWPO,,292085,7,,,,228,549,10,29,17,1259,1600,17.94,13.06,691,8.64,
4699.0,M,10:14,9/19/2017,MANITOBA,LA,HERBERT,BLK,,CN,0,,,,-1,,,,,,10,,,,,
4700.0,M,10:15,9/19/2017,MANITOBA,LA,HERBERT,BLK,,CN,100,,,,27,,,,,,230,,,,,
4701.0,M,10:16,9/19/2017,MANITOBA,LA,HERBERT,BLK,,P,100,,,,,,,4,,,,,,,,
4702.0,M,12:05,9/25/2017,MANITOBA,LA,HERBERT,BLK,,P,100,,,,,,,3,,,,,,,,
4703.0,M,12:03,9/25/2017,MANITOBA,LA,HERBERT,BLK,,CN,0,,,,-1,,,,,,-10,,,,,
4704.0,M,12:04,9/25/2017,MANITOBA,LA,HERBERT,BLK,,CN,100,,,,-1,,,,,,90,,,,,
4705.0,M,15:55,9/22/2017,MANITOBA,LA,HERBERT,LWPO,,284986,0,,,,177,478,8,15,13,1226,1960,6.80,4.00,890,8.59,
4706.0,M,16:02,9/22/2017,MANITOBA,LA,HERBERT,LWPO,,284986,8.5,,,,185,478,6,20,11,1235,2020,8.02,5.69,900,8.60,
4707.0,M,10:14,9/23/2017,MANITOBA,LA,HERBERT,LWPO,R1,221005,0,,,,277,529,3,22,6,1256,2920,9.92,7.17,990,8.60,
4708.0,M,10:19,9/23/2017,MANITOBA,LA,HERBERT,LWPO,,221005,8.5,,,,276,492,16,17,22,1276,2820,8.79,4.91,989,8.60,
4709.0,M,10:14,9/23/2017,MANITOBA,LA,HERBERT,LWPO,R2,221005,0,,,,295,N/S,N/S,20,N/S,,3080,9.63,6.29,N/S,N/S,
4710.0,M,14:53,9/23/2017,MANITOBA,LA,HERBERT,LWH,DIT,DBW5,,,,,83,1411,1,12,9,2887,630,1.57,1.02,1241,8.51,
4711.0,M,15:18,9/23/2017,MANITOBA,LA,HERBERT,LWH,DIT,DBW3,,,,,55,1165,1,4,3,2361,380,0.62,0.38,485,8.66,
4712.0,M,08:14,9/24/2017,MANITOBA,LA,HERBERT,LWPO,,171986,0,,,,288,589,8,26,13,1157,2670,10.30,8.02,985,8.61,
4713.0,M,08:21,9/24/2017,MANITOBA,LA,HERBERT,LWPO,,171986,6,,,,253,560,88,24,97,1151,2550,12.48,9.83,987,8.62,
4714.0,M,14:49,9/23/2017,MANITOBA,LA,HERBERT,BLK,,P,100,,,,,,,3,,,,,,,,
4715.0,M,14:47,9/23/2017,MANITOBA,LA,HERBERT,BLK,,CN,0,,,,-1,,,,,,10,,,,,
4716.0,M,14:48,9/23/2017,MANITOBA,LA,HERBERT,BLK,,CN,100,,,,18,,,,,,240,,,,,
4729.0,M,17:22,9/26/2017,MANITOBA,LA,HERBERT,LMB,,066840,0,,,,295,722,17,38,35,1097,3120,21.40,14.99,962,8.67,
4730.0,M,17:25,9/26/2017,MANITOBA,LA,HERBERT,LMB,,066840,6.2,,,,329,697,8,36,16,1102,3390,17.74,10.84,976,8.66,
4731.0,M,18:10,9/26/2017,MANITOBA,LA,HERBERT,LMB,,070833,0,,,,322,650,22,27,30,1082,3030,13.33,9.05,990,8.70,
4732.0,M,08:14,9/27/2017,MANITOBA,LA,HERBERT,LMB,,LMB_M,0,,,,157,604,33,14,37,1227,1560,4.36,2.83,946,8.60,
4733.0,M,08:54,9/27/2017,MANITOBA,LA,HERBERT,LMB,,168935,0,,,,189,564,32,13,37,1171,1710,4.93,3.69,955,8.60,
4734.0,M,09:24,9/27/2017,MANITOBA,LA,HERBERT,LMB,,166947,0,,,,151,603,18,12,22,1216,1590,3.98,2.87,960,8.59,
4735.0,M,12:00,9/27/2017,MANITOBA,LA,HERBERT,FFR,,FR1,0,,,,322,611,21,20,23,1226,3650,7.20,5.52,930,8.63,
4736.0,M,13:35,9/27/2017,MANITOBA,LA,HERBERT,LMB,,137886,0,,,,250,622,66,16,72,1234,3160,9.28,6.93,934,8.62,
4737.0,M,13:40,9/27/2017,MANITOBA,LA,HERBERT,LMB,,137886,0,,,,279,576,11,18,14,1195,3440,9.96,7.34,931,8.63,
4738.0,M,14:23,9/27/2017,MANITOBA,LA,HERBERT,LMB,,145886,0,,,,250,574,9,16,12,1165,3370,8.62,6.04,927,8.63,
4739.0,M,17:51,9/27/2017,MANITOBA,LA,HERBERT,LMB,,116879,0,,,,232,630,32,13,36,1185,2840,7.53,5.55,953,8.64,
4740.0,M,18:44,9/27/2017,MANITOBA,LA,HERBERT,LMB,,099881,0,,,,256,672,2,17,6,1217,3050,9.20,7.11,988,8.67,
4741.0,M,19:13,9/27/2017,MANITOBA,LA,HERBERT,LMB,NAR,NAR1,0,,,,241,649,43,17,46,1235,3010,8.40,6.25,992,8.66,
4742.0,M,09:48,9/29/2017,MANITOBA,LA,HERBERT,LMB,,041823,0,,,,349,616,19,46,28,1052,3790,25.27,19.75,1018,8.69,
4743.0,M,09:51,9/29/2017,MANITOBA,LA,HERBERT,LMB,,041823,5.2,,,,384,645,30,47,41,1073,3890,25.38,19.17,1020,8.69,
4744.0,M,10:40,9/29/2017,MANITOBA,LA,HERBERT,LMB,,038808,0,,,,392,557,20,49,30,1100,3900,28.28,21.28,1026,8.69,
4745.0,M,10:41,9/29/2017,MANITOBA,LA,HERBERT,LMB,,038808,4.5,,,,436,583,19,52,30,1074,4060,29.19,22.23,1028,8.68,
4746.0,M,11:23,9/29/2017,MANITOBA,LA,HERBERT,LMB,,036796,0,,,,368,641,15,27,23,1089,3750,17.42,13.95,1024,8.71,
4747.0,M,15:00,9/29/2017,MANITOBA,LA,HERBERT,LMB,,034840,0,,,,421,551,19,55,27,1069,3560,29.84,23.35,1024,8.70,
4748.0,M,15:02,9/29/2017,MANITOBA,LA,HERBERT,LMB,,034840,5.1,,,,491,673,13,65,23,1032,4150,34.18,26.49,1032,8.67,
4749.0,M,15:49,9/29/2017,MANITOBA,LA,HERBERT,LMB,,027854,0,,,,427,618,19,50,31,1067,4010,27.57,21.18,974,8.70,
4750.0,M,17:22,9/26/2017,MANITOBA,LA,HERBERT,LMB,,066840,0,,,,318,N/S,N/S,36,N/S,,3140,18.23,12.57,985,8.67,
4751.0,M,09:48,9/27/2017,MANITOBA,LA,HERBERT,LMB,,041823,0,,,,388,N/S,N/S,50,N/S,,3850,24.91,18.68,N/S,N/S,
4752.0,M,10:52,10/2/2017,MANITOBA,LA,HERBERT,BLK,,CN,0,,,,2,,,,,,10,,,,,
4753.0,M,10:53,10/2/2017,MANITOBA,LA,HERBERT,BLK,,CN,100,,,,13,,,,,,180,,,,,
4754.0,M,10:55,10/2/2017,MANITOBA,LA,HERBERT,BLK,,P,100,,,,,,,3,,,,,,,,
4755.0,M,10:34,10/3/2017,MANITOBA,LA,HERBERT,BLK,,CN,0,,,,-1,,,,,,10,,,,,
4756.0,M,10:36,10/3/2017,MANITOBA,LA,HERBERT,BLK,,CN,100,,,,-1,,,,,,190,,,,,
4757.0,M,10:37,10/3/2017,MANITOBA,LA,HERBERT,BLK,,P,100,,,,,,,2,,,,,,,,
4758.0,M,09:30,10/2/2017,MANITOBA,LA,HERBERT,LMB,,LKS009,,,,,297,680,25,17,29,1297,3340,9.30,6.48,982,8.62,
4759.0,M,15:10,10/2/2017,MANITOBA,LA,HERBERT,WHR,,LHS002,,,,,156,565,16,13,19,1122,1610,4.21,2.80,956,8.57,
4760.0,M,10:15,10/3/2017,MANITOBA,LA,HERBERT,WDR,,LES015,,,,,106,467,25,21,29,1065,980,3.03,2.01,547,8.60,
4761.0,M,11:00,10/3/2017,MANITOBA,LA,HERBERT,SWR,,LES011,,,,,70,387,19,12,27,1048,700,1.50,0.90,801,8.67,
4762.0,M,12:05,10/3/2017,MANITOBA,LA,HERBERT,NDR,,LGS001,,,,,58,344,17,12,17,930,700,1.51,0.93,566,8.68,
4763.0,M,13:15,10/3/2017,MANITOBA,LA,HERBERT,MOR,,LJS006,,,,,201,484,12,31,29,,1840,9.12,6.39,508,8.58,
4764.0,M,14:30,10/4/2017,MANITOBA,LA,HERBERT,WMR,,LLS001,,,,,144,655,23,22,34,1131,1270,9.31,5.29,853,8.67,
4765.0,M,17:18,10/7/2017,MANITOBA,LA,HERBERT,BLK,,CN,0,,,,-1,,,,,,180,,,,,
4766.0,M,17:20,10/7/2017,MANITOBA,LA,HERBERT,BLK,,CN,100,,,,-1,,,,,,10,,,,,
4767.0,M,17:22,10/7/2017,MANITOBA,LA,HERBERT,BLK,,P,100,,,,,,,2,,,,,,,,
4768.0,M,08:30,10/23/2017,BAYSYS,EX,KAMULA,,,LGS,,58,4,,73,418,,23,28,,840,3.67,2.76,289,8.44,
4769.0,M,11:00,10/5/2017,MANITOBA,LA,HERBERT,LWPO,,LWPO_M,,,,,258,632,113,27,120,1130,2920,9.00,6.17,979,8.57,
4770.0,M,15:10,10/5/2017,MANITOBA,LA,HERBERT,LWH,,LWH_M,,,,,144,611,29,14,34,1268,1610,2.66,1.70,948,8.58,
4771.0,M,10:40,10/12/2017,MANITOBA,LA,HERBERT,WHR,,WHR1,,,,,132,614,7,15,13,1146,1560,3.50,2.24,977,8.58,
4772.0,M,08:00,10/12/2017,MANITOBA,LA,HERBERT,LMB,,060864,,,,,235,643,3,21,6,1191,2680,3.78,2.28,959,8.58,
4773.0,M,13:30,10/17/2017,MANITOBA,LA,HERBERT,LWH,,LWH_M,,,,,146,605,9,12,14,1215,1490,2.85,1.82,959,8.58,
4774.0,M,10:00,10/19/2017,MANITOBA,LA,HERBERT,LWPO,,LWPO_M,,,,,271,622,9,32,16,1087,3490,10.14,6.66,1003,8.58,
4775.0,M,10:34,10/27/2017,MANITOBA,LA,HERBERT,BLK,,C&N&P,0,,,,-1,,,-1,,,10,,,,,
4776.0,M,10:36,10/27/2017,MANITOBA,LA,HERBERT,BLK,,C&N&P,100,,,,5,,,2,,,190,,,,,
4777.0,M,08:00,12/14/2017,BAYSYS,EX,KAMULA,,,LGS,,39,8,,84,415,,27,24,,1070,1.83,1.19,325,8.34,
4778.0,M,11:22,1/12/2018,DISTILLED,EX,HERBERT,REP1,,TAP486,,,,,8,6,,1,7,,130,,,,,
4779.0,M,11:22,1/12/2018,DISTILLED,EX,HERBERT,REP1,,TAP486,,,,,12,6,,2,8,,90,,,,,
4780.0,M,11:25,1/12/2018,DISTILLED,EX,HERBERT,REP2,,TAP486,,,,,7,6,,2,8,,80,,,,,
4781.0,M,11:25,1/12/2018,DISTILLED,EX,HERBERT,REP2,,TAP486,,,,,8,6,,1,7,,90,,,,,
4782.0,M,11:26,1/12/2018,DISTILLED,EX,HERBERT,REP3,,TAP486,,,,,8,7,,1,6,,110,,,,,
4783.0,M,11:26,1/12/2018,DISTILLED,EX,HERBERT,REP3,,TAP486,,,,,3,6,,1,7,,70,,,,,
4784.0,M,,3/7/2018,MANITOBA,LA,HERBERT,LMB,,LLS013,,,,,152,843,,16,8,,1240,11.43,9.39,1245,8.54,
4785.0,M,11:05,3/13/2018,MANITOBA,LA,HERBERT,BLK,,CN 100,,,,,34,,,,,,270,,,,,
4786.0,M,11:00,3/13/2018,MANITOBA,LA,HERBERT,BLK,,P 100,,,,,,,,-1,,,,,,,,
4787.0,M,,3/13/2018,MANITOBA,LA,HERBERT,BLK,,P 0,,,,,,,,2,,,,,,,,
4788.0,M,14:09,3/27/2018,MANITOBA,LA,HERBERT,LWPG,,SITE1,0,,,,133,588,5,18,12,,900,13.96,10.85,105,7.97,
4789.0,M,15:16,3/27/2018,MANITOBA,LA,HERBERT,LWPG,,SITE2,0,,,,95,468,5,16,11,,660,11.40,8.74,101,7.92,
4790.0,M,09:00,3/28/2018,MANITOBA,LA,HERBERT,BLK,,CN,,,,,-1,,,,,,-10,,,,,
4791.0,M,09:00,3/28/2018,MANITOBA,LA,HERBERT,BLK,,P 0,,,,,,,,-1,,,,,,,,
4792.0,M,09:08,3/28/2018,MANITOBA,LA,HERBERT,BLK,,P 100,,,,,,,,3,,,,,,,,
