NUMBER,ANAL,SAMPLED,SAMPLET,TYPE,DESCRIP,CLIENT,LOCATION,SUBLOC,STATION,DEPTH,NO3,NO2,NH4,SUSPN,TDN,SRP,SUSPP,TDP,DOC,SUSPC,GF_CHL,HPLC_CHLA,COND,PH,Comments for DOC,Project name
,,,,,,,,,,,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,µmol/L,µg/L,µg/L,µg/L,µS/cm @25°C,,,DEPTH
4260.0,M,8/17/2016,16:50,LA,MANITOBA,HERBERT,LMB,,LLS013,0,,,,,,,77,,,,,,,,,DEPTH
4261.0,M,4/11/2017,09:00,LA,MANITOBA,HERBERT,BLK,,,,,,,N/S,,,3,,,N/S,,,,,,DEPTH
4262.0,M,4/17/2017,11:40,LA,MANITOBA,HERBERT,BLK,,,,,,,N/S,,,3,,,N/S,,,,,,DEPTH
4263.0,M,4/6/2017,10:40,LA,MANITOBA,HERBERT,FFR,,FR1,0,,,,N/S,813,,,16,,N/S,2.59,1.91,1111,8.45,,DEPTH
4264.0,M,4/12/2017,16:10,LA,MANITOBA,HERBERT,LWH,,LWH_C,,,,,N/S,,,16,,,N/S,1.52,1.06,937,8.47,,DEPTH
4265.0,M,4/12/2017,16:25,LA,MANITOBA,HERBERT,GR,,GLGA1,,,,,N/S,,,26,,,N/S,1.99,1.00,260,8.29,,DEPTH
4266.0,M,4/12/2017,16:37,LA,MANITOBA,HERBERT,GR,,GLGA2,,,,,N/S,,,21,,,N/S,1.65,0.82,161,8.14,,DEPTH
4267.0,M,4/12/2017,17:00,LA,MANITOBA,HERBERT,L22R,,GLL22E,,,,,N/S,,,36,,,N/S,1.01,0.67,359,8.24,,DEPTH
4301.0,M,4/18/2017,09:30,LA,MANITOBA,HERBERT,,,LKS009,0,,,,119,724,,15,6,,1210,1.80,1.06,998,8.59,,DEPTH
4302.0,M,5/16/2017,14:59,LA,MANITOBA,HERBERT,,,MBGL,0,,,,1,,,,,,40,,,,,,DEPTH
4303.0,M,5/16/2017,14:55,LA,MANITOBA,HERBERT,BLK,,,100,,,,21,,,,,,280,,,,,,DEPTH
4304.0,M,5/17/2017,15:24,LA,MANITOBA,HERBERT,BLK,,,,,,,1,,,,,,20,,,,,,DEPTH
4305.0,M,5/17/2017,15:28,LA,MANITOBA,HERBERT,BLK,,,,,,,16,,,,,,270,,,,,,DEPTH
4306.0,M,5/16/2017,14:56,LA,MANITOBA,HERBERT,BLK,,,100,,,,,,,5,,,,,,,,,DEPTH
4307.0,M,5/17/2017,15:26,LA,MANITOBA,HERBERT,BLK,,,,,,,,,,3,,,,,,,,,DEPTH
4308.0,M,5/2/2017,,LA,MANITOBA,HERBERT,BLK,,,,,,,,,,-1,,,,,,,,,DEPTH
4309.0,M,5/15/2017,11:50,LA,MANITOBA,HERBERT,LMB,,041823,0,,,,243,840,13,36,32,,1970,10.50,5.48,759,8.58,,DEPTH
4310.0,M,5/15/2017,12:01,LA,MANITOBA,HERBERT,LMB,,041823,6,,,,584,825,7,88,21,1042,5350,27.47,15.67,789,8.58,,DEPTH
4311.0,M,5/15/2017,13:05,LA,MANITOBA,HERBERT,LMB,,038808,0,,,,246,702,8,27,24,,2140,11.66,6.65,1018,8.64,,DEPTH
4312.0,M,5/15/2017,13:21,LA,MANITOBA,HERBERT,LMB,,038808,5,,,,336,758,8,37,21,938,2880,17.84,9.83,1018,8.62,,DEPTH
4313.0,M,5/15/2017,14:06,LA,MANITOBA,HERBERT,LMB,,036796,0,,,,234,706,3,25,16,953,1990,7.26,3.57,972,8.64,,DEPTH
4314.0,M,5/16/2017,06:09,LA,MANITOBA,HERBERT,LMB,,099881,0,,,,181,723,16,18,31,877,1750,4.63,2.74,1004,8.61,,DEPTH
4315.0,M,5/16/2017,07:15,LA,MANITOBA,HERBERT,LMB,,116879,0,,,,210,659,1,17,8,1127,1760,4.61,2.59,933,8.60,,DEPTH
4316.0,M,5/16/2017,07:49,LA,MANITOBA,HERBERT,LMB,NAR,NAR1,0,,,,189,669,2,18,9,959,1800,5.05,2.91,936,8.60,,DEPTH
4317.0,M,5/16/2017,11:30,LA,MANITOBA,HERBERT,FFR,,FR1,0,,,,175,645,1,13,6,1048,1510,4.73,3.01,980,8.60,,DEPTH
4318.0,M,5/17/2017,15:40,LA,MANITOBA,HERBERT,LWH,DIT,DBW3,R1,,,,44,1096,8,7,23,1964,580,1.37,0.77,435,8.64,,DEPTH
4319.0,M,5/17/2017,16:14,LA,MANITOBA,HERBERT,LWH,,DBW4,,,,,41,1129,2,9,10,1848,650,1.41,0.68,547,8.67,,DEPTH
4320.0,M,5/17/2017,16:35,LA,MANITOBA,HERBERT,LWH,,DBW5,,,,,41,1077,1,7,10,,560,1.16,0.63,711,8.67,,DEPTH
4321.0,M,5/17/2017,17:43,LA,MANITOBA,HERBERT,WHR,,WHR1,,,,,111,687,5,15,21,,1310,3.05,1.74,839,8.55,,DEPTH
4322.0,M,5/17/2017,15:40,LA,MANITOBA,HERBERT,LWH,,DBW3,R2,,,,13,,,6,,,530,,,N/S,N/S,,DEPTH
4323.0,M,5/20/2017,18:36,LA,MANITOBA,HERBERT,BLK,,,,,,,1,,,,,,20,,,,,,DEPTH
4324.0,M,5/20/2017,18:36,LA,MANITOBA,HERBERT,BLK,,,100,,,,21,,,,,,330,,,,,,DEPTH
4325.0,M,5/22/2017,14:55,LA,MANITOBA,HERBERT,BLK,,,0,,,,-1,,,,,,20,,,,,,DEPTH
4326.0,M,5/22/2017,15:10,LA,MANITOBA,HERBERT,BLK,,,100,,,,27,,,,,,250,,,,,,DEPTH
4327.0,M,5/23/2017,16:52,LA,MANITOBA,HERBERT,BLK,,,0,,,,-1,,,,,,20,,,,,,DEPTH
4328.0,M,5/23/2017,16:54,LA,MANITOBA,HERBERT,BLK,,,100,,,,9,,,,,,210,,,,,,DEPTH
4329.0,M,5/20/2017,18:36,LA,MANITOBA,HERBERT,BLK,,,,,,,,,,2,,,,,,,,,DEPTH
4330.0,M,5/20/2017,18:36,LA,MANITOBA,HERBERT,BLK,,,100,,,,,,,3,,,,,,,,,DEPTH
4331.0,M,5/22/2017,14:55,LA,MANITOBA,HERBERT,BLK,,,0,,,,,,,3,,,,,,,,,DEPTH
4332.0,M,5/22/2017,15:09,LA,MANITOBA,HERBERT,BLK,,,100,,,,,,,2,,,,,,,,,DEPTH
4333.0,M,5/23/2017,16:52,LA,MANITOBA,HERBERT,BLK,,,0,,,,,,,-1,,,,,,,,,DEPTH
4334.0,M,5/23/2017,16:54,LA,MANITOBA,HERBERT,BLK,,,100,,,,,,,3,,,,,,,,,DEPTH
4335.0,M,5/18/2017,08:41,LA,MANITOBA,HERBERT,LWPO,,220997,0,,,,125,527,-1,10,6,,1160,3.88,2.27,966,8.56,,DEPTH
4336.0,M,5/18/2017,09:14,LA,MANITOBA,HERBERT,LWPO,,220997,6.6,,,,133,529,-1,11,4,996,1240,4.33,2.50,970,8.57,,DEPTH
4337.0,M,5/18/2017,09:57,LA,MANITOBA,HERBERT,LWPO,,219008,0,,,,133,471,-1,10,10,1185,1230,3.71,2.17,881,8.53,,DEPTH
4338.0,M,5/18/2017,10:08,LA,MANITOBA,HERBERT,LWPO,,219008,8,,,,110,513,-1,12,7,876,1140,4.05,2.46,888,8.55,,DEPTH
4339.0,M,5/18/2017,14:35,LA,MANITOBA,HERBERT,REDR,,RDR1,0,,,,163,569,1,27,17,975,1550,7.26,4.36,346,8.49,,DEPTH
4340.0,M,5/18/2017,15:43,LA,MANITOBA,HERBERT,LWPO,,292085,0,,,,177,619,2,20,11,,1290,9.34,6.10,647,8.56,,DEPTH
4341.0,M,5/18/2017,15:43,LA,MANITOBA,HERBERT,LWPO,,292085,8,,,,177,689,9,21,29,1134,1220,9.43,6.89,647,8.55,,DEPTH
4342.0,M,5/18/2017,17:37,LA,MANITOBA,HERBERT,OFR,,OFR1,0,,,,81,538,2,14,9,1277,1000,2.75,1.69,228,8.41,,DEPTH
4343.0,M,5/18/2017,19:19,LA,MANITOBA,HERBERT,LWPO,,308102,0,,,,141,520,1,14,9,1187,1130,6.36,4.09,647,8.56,,DEPTH
4344.0,M,5/18/2017,19:19,LA,MANITOBA,HERBERT,LWPO,,308102,5,,,,130,659,4,14,19,1130,1100,5.31,2.79,687,8.56,,DEPTH
4345.0,M,5/19/2017,09:38,LA,MANITOBA,HERBERT,LWPO,,284986,0,,,,91,513,-1,7,4,965,740,2.73,1.50,891,8.58,,DEPTH
4346.0,M,5/19/2017,09:45,LA,MANITOBA,HERBERT,LWPO,,284986,8.5,,,,107,528,-1,7,4,1386,900,2.98,1.68,889,8.59,,DEPTH
4347.0,M,5/19/2017,16:12,LA,MANITOBA,HERBERT,LWPO,,182986,0,,,,174,622,1,11,8,,1330,3.89,2.11,1052,8.58,,DEPTH
4348.0,M,5/19/2017,16:23,LA,MANITOBA,HERBERT,LWPO,,182986,8,,,,151,660,3,13,15,,1350,4.79,2.49,1063,8.59,,DEPTH
4349.0,M,5/19/2017,17:07,LA,MANITOBA,HERBERT,LWPO,,171986,0,,,,128,585,1,14,7,,1310,4.46,2.50,962,8.60,,DEPTH
4350.0,M,5/19/2017,17:56,LA,MANITOBA,HERBERT,LWPO,,LWPO_M,0,,,,113,514,2,15,9,,1190,2.88,1.53,895,8.61,,DEPTH
4351.0,M,5/19/2017,18:05,LA,MANITOBA,HERBERT,LWPO,,LWPO_M,4.5,,,,148,589,4,16,14,,1420,3.51,1.82,913,8.60,,DEPTH
4352.0,M,5/20/2017,09:48,LA,MANITOBA,HERBERT,LMB,,LMB_M,0,,,,117,593,1,12,10,,1120,2.65,1.45,828,8.58,,DEPTH
4353.0,M,5/20/2017,10:46,LA,MANITOBA,HERBERT,LMB,,168935,0,,,,131,607,2,10,5,3222,1020,2.16,1.21,859,8.58,,DEPTH
4354.0,M,5/20/2017,11:27,LA,MANITOBA,HERBERT,LMB,,165947,0,,,,131,597,-1,12,6,,1110,2.35,1.38,892,8.58,,DEPTH
4355.0,M,5/20/2017,15:35,LA,MANITOBA,HERBERT,LWH,,LWH_M,0,,,,109,557,1,9,5,2915,1010,2.35,1.39,800,8.57,,DEPTH
4356.0,M,5/21/2017,08:35,LA,MANITOBA,HERBERT,LMB,,139884,0,,,,142,796,4,12,17,1111,1530,3.30,2.38,1049,8.55,,DEPTH
4357.0,M,5/21/2017,09:16,LA,MANITOBA,HERBERT,LMB,,145886,0,,,,174,685,-1,14,7,,1570,3.65,2.68,997,8.60,,DEPTH
4358.0,M,5/21/2017,12:49,LA,MANITOBA,HERBERT,LMB,,070833,0,,,,194,672,2,20,11,2530,1940,4.65,3.43,1062,8.69,,DEPTH
4359.0,M,5/23/2017,09:56,LA,MANITOBA,HERBERT,LMB,,027854,0,,,,437,602,1,63,12,1090,4740,18.33,14.05,882,8.63,,DEPTH
4360.0,M,5/23/2017,10:48,LA,MANITOBA,HERBERT,LMB,,030847,0,,,,505,649,6,79,24,4592,4780,28.64,20.61,815,8.59,,DEPTH
4369.0,M,5/31/2017,14:00,EX,BAYSYS,KAMULA,,,LGS,,-1,5,13,91,377,3,25,8,,1050,3.80,N/S,0,8.39,,DEPTH
4370.0,M,5/31/2017,15:00,EX,BAYSYS,KAMULA,,,LGS-2,,-1,5,10,112,367,3,25,8,,1200,4.16,N/S,0,8.38,,DEPTH
4373.0,M,6/14/2017,08:00,EX,BAYSYS,KAMULA,,,LGS,0,-1,5,,93,418,,19,11,,820,5.10,,N/S,N/S,,DEPTH
4386.0,M,6/28/2017,08:00,EX,BAYSYS,KAMULA,,,LGS,,-1,6,,118,394,,26,13,712,1130,5.32,,322,8.46,,DEPTH
4387.0,M,7/7/2017,08:00,EX,BAYSYS,KAMULA,,,LGS,,-1,6,,99,385,,26,13,,1010,6.39,,333,8.49,,DEPTH
4424.0,M,7/24/2017,08:45,LA,MANITOBA,HERBERT,LMB,,LLS001,0,,,,393,885,48,71,62,,3810,17.03,,662,8.67,,DEPTH
4425.0,M,7/24/2017,14:20,LA,MANITOBA,HERBERT,LMB,,LKS009,0,,,,488,752,72,35,82,,5330,12.65,,1008,8.66,,DEPTH
4426.0,M,7/25/2017,11:10,LA,MANITOBA,HERBERT,SWR,,LES011,0,,,,116,728,46,27,61,,1350,3.85,,542,8.67,,DEPTH
4427.0,M,7/25/2017,12:00,LA,MANITOBA,HERBERT,WDR,,LES015,0,,,,85,614,55,18,66,,1050,1.67,,367,8.62,,DEPTH
4428.0,M,7/25/2017,13:25,LA,MANITOBA,HERBERT,NDR,,LGS001,0,,,,67,549,73,11,84,,610,1.41,,496,8.71,,DEPTH
4429.0,M,7/26/2017,09:40,LA,MANITOBA,HERBERT,WHR,,LHS002,0,,,,173,725,75,16,87,,1560,3.98,,955,8.59,,DEPTH
4430.0,M,7/26/2017,11:58,LA,MANITOBA,HERBERT,DR,,LMS003,0,,,,270,799,46,17,56,,2810,5.60,,966,8.63,,DEPTH
4431.0,M,7/26/2017,14:00,LA,MANITOBA,HERBERT,LMB,,LMS001,0,,,,348,696,78,25,85,,3910,7.14,,941,8.65,,DEPTH
4460.0,M,7/27/2017,,LA,MANITOBA,HERBERT,BLK,,CN,0,,,,21,,,,,,110,,,,,,DEPTH
4461.0,M,7/27/2017,,LA,MANITOBA,HERBERT,BLK,,CN,100,,,,-1,,,,,,220,,,,,,DEPTH
4462.0,M,7/27/2017,,LA,MANITOBA,HERBERT,BLK,,P,100,,,,,,,2,,,,,,,,,DEPTH
4529.0,M,8/4/2017,22:11,LA,MANITOBA,HERBERT,BLK,,CN,0,,,,-1,,,,,,10,,,,,,DEPTH
4530.0,M,8/4/2017,22:12,LA,MANITOBA,HERBERT,BLK,,CN,100,,,,8,,,,,,140,,,,,,DEPTH
4531.0,M,8/4/2017,22:17,LA,MANITOBA,HERBERT,BLK,,P,100,,,,,,,2,,,,,,,,,DEPTH
4532.0,M,8/4/2017,14:25,LA,MANITOBA,HERBERT,FFR,,GL FR1,0,,,,240,654,33,18,40,2379,2750,6.46,5.55,940,8.65,Sample had a small brown hairy tumbleweed floating around,DEPTH
4533.0,M,8/4/2017,18:42,LA,MANITOBA,HERBERT,LWH,,LWH_M,0,,,,142,655,93,15,102,953,1430,3.05,2.20,924,8.58,,DEPTH
4534.0,M,8/4/2017,18:49,LA,MANITOBA,HERBERT,LWH,,LWH_M,3.5,,,,175,638,62,14,76,1007,1520,2.94,2.26,939,8.61,,DEPTH
4535.0,M,8/4/2017,20:51,LA,MANITOBA,HERBERT,WHR,,WHR1,0,,,,129,743,78,14,89,1036,1330,3.52,2.61,959,8.59,Sample had a bigger [than M4532] brown hairy tumbleweed floating around,DEPTH
4536.0,M,8/5/2017,15:48,LA,MANITOBA,HERBERT,BLK,,CN,0,,,,2,,,,,,10,,,,,,DEPTH
4537.0,M,8/5/2017,15:48,LA,MANITOBA,HERBERT,BLK,,CN,100,,,,-1,,,,,,130,,,,,,DEPTH
4538.0,M,8/5/2017,15:50,LA,MANITOBA,HERBERT,BLK,,P,100,,,,,,,2,,,,,,,,,DEPTH
4539.0,M,8/5/2017,08:47,LA,MANITOBA,HERBERT,LMB,,LMB_M2,0,,,,155,636,59,10,67,1073,1280,2.71,2.07,948,8.60,,DEPTH
4540.0,M,8/5/2017,09:48,LA,MANITOBA,HERBERT,LMB,,168935,0,,,,164,636,61,13,72,1042,1760,3.89,3.02,913,8.62,,DEPTH
4541.0,M,8/5/2017,10:37,LA,MANITOBA,HERBERT,LMB,,165947,0,,,,172,705,138,14,150,1011,1620,3.69,2.82,930,8.60,,DEPTH
4542.0,M,8/5/2017,17:00,LA,MANITOBA,HERBERT,LWH,DIT,DBW3,0,,,,45,1134,3,6,8,2939,460,0.91,0.58,1167,8.73,,DEPTH
4543.0,M,8/5/2017,17:30,LA,MANITOBA,HERBERT,LWH,DIT,DBW5,0,,,,59,1190,28,9,32,2266,730,1.12,0.58,528,8.71,,DEPTH
4544.0,M,8/7/2017,16:30,LA,MANITOBA,HERBERT,BLK,,CN,100,,,,1,,,,,,10,,,,,,DEPTH
4545.0,M,8/7/2017,16:32,LA,MANITOBA,HERBERT,BLK,,CN,0,,,,1,,,,,,190,,,,,,DEPTH
4546.0,M,8/7/2017,16:31,LA,MANITOBA,HERBERT,BLK,,P,100,,,,,,,3,,,,,,,,,DEPTH
4547.0,M,8/6/2017,13:57,LA,MANITOBA,HERBERT,LWPO,,284986,0,,,,119,477,107,11,113,991,1160,3.36,2.27,907,8.62,,DEPTH
4548.0,M,8/6/2017,17:02,LA,MANITOBA,HERBERT,LWPO,,308102,0,,,,211,546,84,23,91,2413,1410,7.46,2.13,559,8.58,,DEPTH
4549.0,M,8/7/2017,07:18,LA,MANITOBA,HERBERT,FFR,,FR1,0,,,,87,755,37,13,47,1807,710,4.51,2.32,255,8.50,,DEPTH
4550.0,M,8/7/2017,08:37,LA,MANITOBA,HERBERT,LWPO,,291091,0,,,,199,576,85,26,97,1172,1420,8.93,5.85,664,8.63,,DEPTH
4551.0,M,8/7/2017,10:23,LA,MANITOBA,HERBERT,REDR,,RDR1,0,,,,396,764,25,52,39,1329,3440,12.01,7.97,484,8.69,,DEPTH
4552.0,M,8/7/2017,07:18,LA,MANITOBA,HERBERT,FFR,,FR1,0,,,,85,,,17,,,680,4.67,3.42,,,,DEPTH
4553.0,M,8/9/2017,13:32,LA,MANITOBA,HERBERT,BLK,,CN,100,,,,1,,,,,,10,,,,,,DEPTH
4554.0,M,8/9/2017,13:34,LA,MANITOBA,HERBERT,BLK,,CN,0,,,,12,,,,,,140,,,,,,DEPTH
4555.0,M,8/9/2017,13:30,LA,MANITOBA,HERBERT,BLK,,P,100,,,,,,,3,,,,,,,,,DEPTH
4556.0,M,8/8/2017,08:16,LA,MANITOBA,HERBERT,LWPO,,171986,0,,,,234,550,62,17,68,,2410,6.39,4.50,970,8.64,,DEPTH
4557.0,M,8/8/2017,08:18,LA,MANITOBA,HERBERT,LWPO,,171986,6,,,,243,529,98,20,102,,2480,6.10,4.53,970,8.63,,DEPTH
4558.0,M,8/8/2017,09:05,LA,MANITOBA,HERBERT,LWPO,,LWPO_M,0,,,,212,520,173,22,175,,2260,5.96,4.66,957,8.63,,DEPTH
4559.0,M,8/8/2017,12:03,LA,MANITOBA,HERBERT,LWPO,,220997,0,,,,176,504,161,14,165,,1860,5.64,4.27,956,8.63,,DEPTH
4560.0,M,8/8/2017,12:06,LA,MANITOBA,HERBERT,LWPO,,220997,7,,,,196,493,192,16,196,,2000,5.07,3.88,966,8.63,,DEPTH
4561.0,M,8/8/2017,12:41,LA,MANITOBA,HERBERT,LWPO,,221005,0,,,,192,512,107,19,110,,1920,6.19,4.61,975,8.63,,DEPTH
4562.0,M,8/8/2017,15:46,LA,MANITOBA,HERBERT,LWPO,,LWPO3,0,,,,196,N/S,N/S,15,N/S,,1990,4.65,3.56,N/S,N/S,,DEPTH
4563.0,M,8/13/2017,19:00,LA,MANITOBA,HERBERT,BLK,,CN,100,,,,1,,,,,,10,,,,,,DEPTH
4564.0,M,8/13/2017,19:00,LA,MANITOBA,HERBERT,BLK,,CN,0,,,,2,,,,,,110,,,,,,DEPTH
4565.0,M,8/13/2017,19:00,LA,MANITOBA,HERBERT,BLK,,P,100,,,,,,,3,,,,,,,,,DEPTH
4566.0,M,8/12/2017,,LA,MANITOBA,HERBERT,LMB,,LMBS2,0,,,,,,,,,,,15.86,,,,,DEPTH
4567.0,M,8/12/2017,10:50,LA,MANITOBA,HERBERT,LMB,,LMBS3,0,,,,,,,,,,,12.85,,,,,DEPTH
4568.0,M,8/12/2017,11:15,LA,MANITOBA,HERBERT,LMB,,LMBS4,0,,,,,,,,,,,12.68,,,,,DEPTH
