date, - values, - uncertainties
1979-07-01,12071748,testtt
1980-07-01,11647403,
1981-07-01,11781140,
1982-07-01,11994056,
1983-07-01,11714236,
1984-07-01,11761275,
1985-07-01,11901927,
1986-07-01,11946031,
1987-07-01,11833116,
1988-07-01,11814032,
1989-07-01,11698185,
1990-07-01,11705555,
1991-07-01,11859591,
1992-07-01,11751540,
1993-07-01,11748552,
1994-07-01,12084517,
1995-07-01,12113107,
1996-07-01,12095584,
1997-07-01,11693617,
1998-07-01,12034027,
1999-07-01,12089557,
2000-07-01,12101947,
2001-07-01,11979611,
2002-07-01,11558395,
2003-07-01,12247807,
2004-07-01,12270393,
2005-07-01,12004909,
2006-07-01,11755437,
2007-07-01,12006641,
2008-07-01,12601457,
2009-07-01,12402144,
2010-07-01,12431307,
2011-07-01,11838928,
2012-07-01,12354188,
2013-07-01,12829635,
2014-07-01,13102311,
2015-07-01,12725637,
2016-07-01,11558932,
2017-07-01,11029838,
2018-07-01,11323097,
2019-07-01,11176862,
2020-07-01,11925040,
2021-07-01,11957096,
2022-07-01,11086024,
2023-07-01,10285561,0
2024-07-01,10810589,0